YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,VALUE,01,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.9,32.9,,,18.4,51.7,61,,,,,,American Indian/Alaska Native,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,VALUE,01,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.8,27.8,,,14.4,46.9,58,,,,,,2 or more races,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,VALUE,01,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q036,VALUE,01,Race/Ethnicity,Other,RACE,RACEOTH
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.7,34.7,,,33.1,36.3,7304,Total,,,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,01,Total,Total,OVR,OVERALL
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,39.0,39.0,,,36.5,41.6,2581,,,,Male,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,01,Gender,Male,GEN,MALE
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.5,30.5,,,28.7,32.4,4723,,,,Female,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,01,Gender,Female,GEN,FEMALE
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.2,33.2,,,29.2,37.5,1153,,,Less than high school,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,01,Education,Less than high school,EDU,EDUHS
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.1,34.1,,,31.4,36.8,2402,,,High school graduate,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,01,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.0,35.0,,,32.1,38.1,1925,,,Some college or technical school,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,01,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.8,36.8,,,33.8,39.8,1812,,,College graduate,,,,"(32.84057112200048, -86.63186076199969)",OWS,OWS1,Q037,VALUE,01,Education,College graduate,EDU,EDUCOGRAD
